sale_id,date,customer_id,product,category,quantity,unit_price,sales_rep,total_sales
73,2023-08-21,132,Tablet,Electronics,8,202.47,Alice,1619.76
74,2023-11-22,2,Mouse,Audio,10,428.57,Charlie,4285.7
75,2023-07-06,134,Monitor,Accessories,6,388.81,Bob,2332.86
76,2023-03-25,54,Laptop,Accessories,10,161.9,Alice,1619.0
77,2023-07-09,106,Headphones,Computers,9,123.7,Diana,1113.3
78,2023-07-01,4,Phone,Electronics,6,234.53,Charlie,1407.18
79,2023-04-18,54,Laptop,Electronics,9,392.86,Charlie,3535.7400000000002
80,2023-12-10,191,Phone,Computers,4,480.48,Diana,1921.92
81,2023-05-17,146,Tablet,Electronics,8,384.15,Diana,3073.2
82,2023-12-26,44,Webcam,Audio,4,429.05,Diana,1716.2
83,2023-12-16,162,Speaker,Accessories,2,305.5,Bob,611.0
84,2023-11-28,190,Keyboard,Computers,10,419.35,Eve,4193.5
85,2023-02-06,14,Laptop,Computers,9,394.37,Charlie,3549.33
86,2023-11-08,95,Headphones,Electronics,5,194.72,Eve,973.6
87,2023-11-22,48,Mouse,Computers,4,280.48,Eve,1121.92
88,2023-03-29,15,Headphones,Audio,2,404.33,Diana,808.66
89,2023-10-01,200,Tablet,Electronics,1,32.57,Bob,32.57
90,2023-05-06,190,Phone,Electronics,7,405.96,Alice,2841.72
91,2023-03-25,40,Mouse,Electronics,6,97.17,Bob,583.02
92,2023-08-25,82,Keyboard,Electronics,2,262.19,Eve,524.38
93,2023-07-14,111,Keyboard,Audio,8,406.05,Bob,3248.4
94,2023-05-19,53,Laptop,Electronics,4,134.37,Diana,537.48
95,2023-11-24,24,Tablet,Computers,8,130.45,Alice,1043.6
96,2023-12-19,154,Webcam,Audio,7,207.35,Diana,1451.45
97,2023-10-13,188,Tablet,Accessories,5,448.37,Alice,2241.85
98,2023-04-23,124,Phone,Accessories,10,10.22,Eve,102.2
99,2023-12-17,41,Headphones,Computers,10,451.68,Alice,4516.8
100,2023-06-16,157,Keyboard,Computers,8,85.37,Alice,682.96
101,2023-01-29,15,Headphones,Audio,9,495.14,Alice,4456.26
102,2023-04-28,45,Headphones,Accessories,5,477.88,Bob,2389.4
103,2023-01-17,65,Headphones,Accessories,10,252.39,Bob,2523.8999999999996
104,2023-06-11,89,Keyboard,Accessories,5,261.23,Eve,1306.15
105,2023-07-25,71,Charger,Accessories,2,245.96,Alice,491.92
106,2023-05-18,9,Monitor,Accessories,5,321.37,Charlie,1606.85
107,2023-02-03,88,Phone,Electronics,3,54.45,Eve,163.35000000000002
108,2023-04-19,129,Charger,Computers,7,25.98,Alice,181.86
109,2023-10-18,136,Phone,Electronics,10,38.27,Alice,382.70000000000005
110,2023-06-11,63,Mouse,Accessories,5,227.74,Bob,1138.7
111,2023-04-19,139,Tablet,Audio,8,145.02,Eve,1160.16
112,2023-12-02,81,Tablet,Audio,1,314.8,Alice,314.8
113,2023-09-13,136,Speaker,Accessories,3,496.3,Alice,1488.9
114,2023-07-22,163,Tablet,Accessories,3,199.3,Eve,597.9000000000001
115,2023-11-26,163,Keyboard,Audio,9,291.18,Charlie,2620.62
116,2023-08-23,33,Webcam,Electronics,5,213.65,Eve,1068.25
117,2023-03-15,123,Laptop,Electronics,9,425.16,Eve,3826.44
118,2023-05-16,5,Speaker,Accessories,9,452.1,Charlie,4068.9
119,2023-03-13,41,Laptop,Electronics,1,439.9,Eve,439.9
120,2023-05-07,28,Phone,Audio,2,487.44,Alice,974.88
121,2023-10-15,135,Laptop,Electronics,5,23.48,Eve,117.4
122,2023-10-03,72,Laptop,Accessories,4,421.51,Charlie,1686.04
123,2023-05-15,12,Speaker,Audio,10,378.37,Diana,3783.7
124,2023-10-27,162,Mouse,Electronics,9,122.06,Eve,1098.54
125,2023-08-08,33,Headphones,Computers,7,478.6,Bob,3350.2000000000003
126,2023-10-26,48,Tablet,Audio,6,82.61,Alice,495.65999999999997
127,2023-07-24,151,Tablet,Audio,7,342.98,Alice,2400.86
128,2023-07-05,62,Keyboard,Computers,1,120.2,Bob,120.2
129,2023-04-23,37,Speaker,Computers,1,221.38,Bob,221.38
130,2023-03-12,99,Keyboard,Audio,8,362.39,Eve,2899.12
131,2023-09-18,172,Webcam,Computers,2,286.03,Bob,572.06
132,2023-09-10,104,Webcam,Accessories,10,219.48,Diana,2194.7999999999997
133,2023-02-16,35,Keyboard,Accessories,9,169.91,Charlie,1529.19
134,2023-01-25,193,Speaker,Accessories,7,421.43,Bob,2950.01
135,2023-02-26,101,Keyboard,Audio,6,80.47,Bob,482.82
136,2023-03-20,175,Tablet,Computers,1,220.75,Diana,220.75
137,2023-11-18,131,Charger,Computers,1,452.84,Alice,452.84
138,2023-03-23,1,Monitor,Electronics,2,424.47,Alice,848.94
139,2023-12-15,5,Laptop,Electronics,6,206.46,Eve,1238.76
140,2023-08-05,142,Monitor,Computers,6,383.92,Diana,2303.52
141,2023-11-02,103,Speaker,Computers,2,413.35,Charlie,826.7
142,2023-02-02,27,Monitor,Computers,1,445.55,Charlie,445.55
143,2023-07-17,137,Webcam,Audio,10,276.81,Diana,2768.1
144,2023-07-15,15,Phone,Computers,5,110.19,Charlie,550.95
145,2023-11-02,90,Laptop,Electronics,5,135.1,Alice,675.5
146,2023-08-28,42,Headphones,Audio,2,154.89,Charlie,309.78
147,2023-09-28,124,Speaker,Computers,6,300.96,Charlie,1805.7599999999998
148,2023-05-09,179,Laptop,Electronics,9,26.08,Diana,234.71999999999997
149,2023-10-11,63,Monitor,Audio,2,321.66,Diana,643.32
150,2023-01-06,96,Webcam,Computers,10,188.53,Charlie,1885.3
151,2023-12-15,52,Mouse,Computers,2,154.67,Bob,309.34
152,2023-02-28,96,Charger,Computers,3,440.95,Diana,1322.85
153,2023-12-16,132,Headphones,Audio,7,235.4,Eve,1647.8
154,2023-10-02,151,Charger,Electronics,6,56.58,Eve,339.48
155,2023-05-17,143,Laptop,Electronics,8,415.11,Alice,3320.88
156,2023-11-25,171,Webcam,Accessories,8,33.34,Charlie,266.72
157,2023-06-24,29,Webcam,Computers,6,366.11,Bob,2196.66
158,2023-02-27,36,Monitor,Accessories,10,389.21,Alice,3892.1
159,2023-05-31,13,Tablet,Accessories,3,182.78,Charlie,548.34
160,2023-08-11,160,Monitor,Electronics,3,414.15,Diana,1242.4499999999998
161,2023-03-22,71,Tablet,Audio,1,262.67,Eve,262.67
162,2023-08-21,187,Tablet,Audio,7,237.01,Bob,1659.07
163,2023-01-02,86,Headphones,Electronics,5,32.25,Eve,161.25
164,2023-05-15,28,Monitor,Audio,4,152.11,Diana,608.44
165,2023-09-14,66,Mouse,Accessories,10,466.19,Charlie,4661.9
166,2023-04-02,170,Keyboard,Computers,4,201.99,Diana,807.96
167,2023-09-17,45,Keyboard,Electronics,4,277.88,Diana,1111.52
168,2023-02-24,62,Monitor,Computers,6,270.69,Eve,1624.1399999999999
169,2023-11-17,185,Monitor,Audio,8,299.31,Bob,2394.48
170,2023-06-02,134,Charger,Computers,8,40.05,Diana,320.4
171,2023-11-24,28,Headphones,Audio,5,187.47,Eve,937.35
172,2023-09-17,28,Monitor,Audio,6,364.33,Bob,2185.98
173,2023-11-08,108,Charger,Accessories,4,108.27,Charlie,433.08
174,2023-04-12,44,Tablet,Audio,9,109.75,Charlie,987.75
175,2023-03-20,84,Webcam,Accessories,8,14.94,Alice,119.52
176,2023-07-11,30,Webcam,Accessories,10,224.37,Eve,2243.7
177,2023-03-24,190,Tablet,Accessories,10,442.54,Bob,4425.400000000001
178,2023-10-04,75,Speaker,Electronics,1,35.43,Diana,35.43
179,2023-09-29,128,Charger,Electronics,2,103.65,Charlie,207.3
180,2023-01-01,92,Charger,Audio,9,161.94,Bob,1457.46
181,2023-11-03,190,Tablet,Accessories,8,368.55,Eve,2948.4
182,2023-06-15,129,Mouse,Electronics,3,323.91,Alice,971.73
183,2023-09-08,121,Phone,Accessories,8,213.81,Charlie,1710.48
184,2023-01-10,27,Laptop,Computers,1,381.94,Bob,381.94
185,2023-02-27,190,Tablet,Computers,10,308.72,Bob,3087.2000000000003
186,2023-07-05,121,Monitor,Computers,4,449.06,Bob,1796.24
187,2023-06-07,116,Monitor,Audio,3,410.83,Eve,1232.49
188,2023-05-03,3,Headphones,Accessories,6,133.88,Eve,803.28
189,2023-01-30,103,Tablet,Computers,7,143.0,Eve,1001.0
190,2023-05-04,198,Headphones,Electronics,4,71.42,Diana,285.68
191,2023-10-18,200,Tablet,Computers,7,175.11,Bob,1225.77
192,2023-02-10,155,Charger,Computers,9,499.78,Charlie,4498.0199999999995
193,2023-02-13,137,Laptop,Computers,2,208.82,Eve,417.64
194,2023-09-06,62,Charger,Audio,3,118.04,Eve,354.12
195,2023-02-05,165,Phone,Electronics,5,383.62,Bob,1918.1
196,2023-09-30,51,Webcam,Accessories,3,275.81,Eve,827.4300000000001
197,2023-03-06,172,Keyboard,Electronics,8,83.3,Diana,666.4
198,2023-03-07,152,Tablet,Accessories,10,196.54,Diana,1965.3999999999999
199,2023-12-04,59,Phone,Audio,8,213.09,Eve,1704.72
200,2023-09-01,118,Webcam,Audio,8,379.38,Bob,3035.04
201,2023-10-09,160,Speaker,Audio,9,20.13,Bob,181.17
202,2023-03-26,96,Laptop,Audio,4,141.82,Bob,567.28
203,2023-05-16,180,Headphones,Accessories,5,263.62,Alice,1318.1
204,2023-09-28,113,Headphones,Computers,5,141.73,Eve,708.65
205,2023-11-07,62,Charger,Accessories,8,317.93,Bob,2543.44
206,2023-08-05,186,Monitor,Electronics,7,246.12,Diana,1722.8400000000001
207,2023-04-19,52,Webcam,Audio,9,187.24,Charlie,1685.16
208,2023-10-04,12,Speaker,Audio,8,475.11,Charlie,3800.88
209,2023-12-20,39,Phone,Electronics,2,319.76,Bob,639.52
210,2023-04-13,130,Laptop,Accessories,10,73.67,Charlie,736.7
211,2024-01-01,131,Webcam,Computers,4,284.44,Charlie,1137.76
212,2023-06-09,113,Speaker,Computers,6,392.56,Alice,2355.36
213,2023-07-24,101,Keyboard,Electronics,2,357.16,Diana,714.32
214,2023-12-10,113,Tablet,Computers,7,94.32,Diana,660.24
215,2023-11-29,184,Headphones,Accessories,3,486.49,Alice,1459.47
216,2023-07-11,81,Phone,Accessories,3,229.92,Alice,689.76
217,2023-08-13,187,Headphones,Electronics,2,87.92,Charlie,175.84
218,2023-09-22,113,Phone,Accessories,8,98.3,Eve,786.4
219,2023-08-20,2,Charger,Audio,6,58.14,Charlie,348.84000000000003
220,2023-03-03,130,Monitor,Electronics,1,403.72,Alice,403.72
221,2023-05-07,54,Phone,Accessories,1,69.79,Diana,69.79
222,2023-04-26,87,Headphones,Electronics,7,71.31,Charlie,499.17
223,2023-02-02,129,Charger,Computers,8,426.73,Eve,3413.84
224,2023-06-23,147,Phone,Accessories,5,178.86,Charlie,894.3000000000001
225,2023-01-11,126,Keyboard,Audio,5,25.12,Bob,125.60000000000001
226,2023-10-29,130,Monitor,Accessories,4,35.43,Charlie,141.72
227,2023-10-11,53,Phone,Electronics,6,79.66,Alice,477.96
228,2023-04-28,172,Charger,Electronics,6,114.56,Diana,687.36
229,2023-10-29,160,Webcam,Accessories,3,335.92,Diana,1007.76
230,2023-04-23,198,Mouse,Audio,9,87.09,Alice,783.8100000000001
231,2023-01-04,160,Speaker,Audio,7,68.25,Bob,477.75
232,2023-02-06,68,Mouse,Audio,1,384.71,Alice,384.71
233,2023-12-29,183,Mouse,Electronics,7,338.82,Charlie,2371.74
234,2023-11-20,184,Laptop,Accessories,5,223.31,Alice,1116.55
235,2023-01-31,123,Keyboard,Computers,5,279.16,Alice,1395.8000000000002
236,2023-04-28,145,Webcam,Electronics,2,162.87,Bob,325.74
237,2023-02-04,38,Tablet,Audio,4,246.43,Charlie,985.72
238,2023-01-17,24,Phone,Accessories,6,258.27,Eve,1549.62
239,2023-06-19,69,Speaker,Audio,10,199.75,Eve,1997.5
240,2023-02-06,116,Monitor,Computers,7,454.22,Diana,3179.54
241,2023-09-21,98,Webcam,Audio,5,17.87,Alice,89.35000000000001
242,2023-05-02,198,Headphones,Audio,9,393.26,Diana,3539.34
243,2023-05-23,139,Tablet,Computers,3,70.95,Bob,212.85000000000002
244,2023-12-09,144,Laptop,Accessories,1,400.8,Eve,400.8
245,2023-09-06,97,Laptop,Electronics,4,311.8,Alice,1247.2
246,2023-04-20,124,Webcam,Accessories,9,423.21,Bob,3808.89
247,2023-10-04,187,Charger,Computers,4,57.78,Bob,231.12
248,2023-03-09,70,Mouse,Audio,2,283.9,Alice,567.8
249,2023-10-20,93,Headphones,Accessories,10,255.53,Bob,2555.3
250,2023-10-23,3,Laptop,Electronics,5,356.03,Alice,1780.1499999999999
251,2023-08-31,148,Speaker,Computers,3,271.8,Alice,815.4000000000001
252,2023-05-05,187,Laptop,Accessories,9,274.96,Charlie,2474.64
253,2023-08-31,164,Monitor,Electronics,4,220.5,Diana,882.0
254,2023-07-28,147,Phone,Computers,6,161.33,Bob,967.98
255,2023-04-08,90,Laptop,Electronics,2,246.31,Bob,492.62
256,2023-02-18,195,Monitor,Computers,6,68.06,Charlie,408.36
257,2023-02-19,147,Webcam,Audio,3,481.14,Charlie,1443.42
258,2023-12-04,148,Webcam,Accessories,9,360.06,Charlie,3240.54
259,2023-08-09,96,Tablet,Electronics,2,476.71,Eve,953.42
260,2023-07-01,199,Laptop,Computers,9,121.1,Eve,1089.8999999999999
261,2023-08-05,52,Speaker,Electronics,5,440.88,Eve,2204.4
262,2023-07-30,161,Laptop,Electronics,8,406.31,Alice,3250.48
263,2023-08-28,168,Speaker,Accessories,2,341.8,Bob,683.6
264,2023-01-28,128,Keyboard,Audio,6,316.26,Diana,1897.56
265,2023-12-11,39,Tablet,Electronics,3,165.11,Alice,495.33000000000004
266,2023-12-01,82,Keyboard,Computers,10,410.04,Bob,4100.400000000001
267,2023-11-27,104,Laptop,Computers,5,255.74,Bob,1278.7
268,2023-02-20,129,Tablet,Audio,8,44.74,Charlie,357.92
269,2023-02-01,11,Keyboard,Computers,10,163.3,Charlie,1633.0
270,2023-07-26,185,Mouse,Audio,1,468.3,Alice,468.3
271,2023-06-23,178,Laptop,Computers,5,426.83,Charlie,2134.15
272,2023-02-25,151,Keyboard,Accessories,3,491.13,Bob,1473.3899999999999
273,2023-05-08,159,Mouse,Electronics,4,317.72,Charlie,1270.88
274,2023-04-09,42,Mouse,Accessories,2,131.28,Eve,262.56
275,2023-04-08,99,Webcam,Electronics,9,89.78,Charlie,808.02
276,2023-10-02,7,Laptop,Electronics,3,101.59,Bob,304.77
277,2023-08-18,144,Mouse,Electronics,2,19.7,Alice,39.4
278,2023-03-13,90,Webcam,Accessories,10,201.43,Diana,2014.3000000000002
279,2023-08-05,112,Keyboard,Electronics,9,103.8,Charlie,934.1999999999999
280,2023-04-04,60,Monitor,Accessories,7,211.71,Bob,1481.97
281,2023-05-23,113,Laptop,Audio,6,468.15,Diana,2808.8999999999996
282,2023-08-25,2,Tablet,Computers,1,220.96,Diana,220.96
283,2023-05-08,129,Speaker,Computers,5,440.21,Eve,2201.0499999999997
284,2023-02-08,48,Speaker,Electronics,3,306.7,Diana,920.0999999999999
285,2023-08-15,140,Keyboard,Accessories,1,131.09,Bob,131.09
286,2023-10-09,197,Charger,Computers,4,184.37,Bob,737.48
287,2023-02-20,37,Charger,Accessories,2,51.12,Charlie,102.24
288,2023-01-26,160,Keyboard,Accessories,2,173.4,Charlie,346.8
289,2023-11-30,9,Mouse,Electronics,3,342.0,Charlie,1026.0
290,2023-10-04,99,Laptop,Computers,8,45.33,Diana,362.64
291,2023-01-08,147,Speaker,Electronics,8,110.65,Diana,885.2
292,2023-02-17,48,Speaker,Electronics,7,196.91,Eve,1378.37
293,2023-05-02,131,Mouse,Computers,6,491.2,Charlie,2947.2
294,2023-03-27,148,Speaker,Computers,9,394.58,Alice,3551.22
295,2023-07-28,152,Tablet,Audio,4,369.41,Eve,1477.64
296,2023-09-06,54,Laptop,Audio,1,66.93,Alice,66.93
297,2023-09-04,120,Phone,Accessories,8,392.69,Diana,3141.52
298,2023-04-20,161,Speaker,Computers,7,394.78,Eve,2763.46
299,2023-07-25,152,Keyboard,Audio,7,304.54,Eve,2131.78
300,2023-01-31,116,Tablet,Accessories,3,495.28,Bob,1485.84
301,2023-03-26,75,Speaker,Accessories,4,169.37,Diana,677.48
302,2023-07-14,113,Tablet,Accessories,10,471.22,Diana,4712.200000000001
303,2023-01-02,200,Webcam,Audio,9,458.22,Eve,4123.9800000000005
304,2023-07-19,164,Phone,Computers,6,15.63,Diana,93.78
305,2023-05-16,166,Headphones,Electronics,5,230.56,Eve,1152.8
306,2023-08-21,104,Keyboard,Accessories,3,488.78,Bob,1466.34
307,2023-05-27,84,Keyboard,Audio,9,60.53,Eve,544.77
308,2023-08-05,112,Laptop,Audio,5,278.41,Diana,1392.0500000000002
309,2023-12-23,99,Tablet,Electronics,5,489.69,Diana,2448.45
310,2023-10-12,153,Mouse,Electronics,4,282.19,Eve,1128.76
311,2023-12-05,93,Keyboard,Audio,4,103.01,Eve,412.04
312,2023-09-07,146,Tablet,Computers,1,295.27,Eve,295.27
313,2023-03-21,128,Tablet,Electronics,7,110.18,Charlie,771.26
314,2023-04-08,110,Monitor,Audio,9,264.66,Diana,2381.94
315,2023-06-01,82,Monitor,Electronics,3,46.28,Diana,138.84
316,2023-04-22,194,Headphones,Computers,2,306.69,Charlie,613.38
317,2023-01-30,54,Webcam,Accessories,3,263.23,Eve,789.69
318,2023-10-24,163,Headphones,Electronics,1,372.68,Bob,372.68
319,2023-10-05,189,Speaker,Computers,6,319.04,Eve,1914.2400000000002
320,2023-02-01,169,Mouse,Audio,7,279.31,Eve,1955.17
321,2023-06-10,161,Speaker,Electronics,2,347.99,Charlie,695.98
322,2023-01-30,68,Charger,Electronics,8,80.53,Diana,644.24
323,2023-01-26,33,Speaker,Audio,6,301.73,Eve,1810.38
324,2023-10-27,142,Laptop,Accessories,4,94.33,Diana,377.32
325,2023-09-02,21,Speaker,Audio,5,463.51,Alice,2317.55
326,2023-09-15,48,Headphones,Electronics,8,43.48,Diana,347.84
327,2023-09-29,148,Keyboard,Audio,3,220.88,Bob,662.64
328,2023-03-22,128,Keyboard,Computers,3,350.94,Bob,1052.82
329,2023-01-30,136,Monitor,Audio,4,234.43,Eve,937.72
330,2023-09-18,135,Mouse,Electronics,1,55.13,Diana,55.13
331,2023-02-11,195,Mouse,Audio,9,281.16,Eve,2530.44
332,2023-04-06,145,Laptop,Accessories,8,324.4,Charlie,2595.2
333,2023-02-05,128,Headphones,Audio,8,354.86,Bob,2838.88
334,2023-11-01,33,Monitor,Accessories,10,192.9,Eve,1929.0
335,2023-02-04,176,Charger,Computers,6,286.19,Charlie,1717.1399999999999
336,2023-12-12,187,Mouse,Accessories,7,230.84,Eve,1615.88
337,2023-05-01,115,Keyboard,Audio,6,339.31,Diana,2035.8600000000001
338,2023-07-26,119,Speaker,Electronics,9,295.94,Diana,2663.46
339,2023-03-03,22,Speaker,Accessories,3,267.62,Diana,802.86
340,2023-10-19,158,Monitor,Computers,3,132.27,Diana,396.81000000000006
341,2023-05-07,38,Headphones,Accessories,3,10.99,Alice,32.97
342,2023-10-24,109,Headphones,Accessories,10,95.3,Charlie,953.0
343,2023-11-01,51,Webcam,Accessories,3,67.36,Charlie,202.07999999999998
344,2023-01-21,182,Phone,Computers,9,230.05,Diana,2070.4500000000003
345,2023-11-14,8,Mouse,Audio,4,310.01,Alice,1240.04
346,2023-02-11,27,Headphones,Accessories,7,114.41,Diana,800.87
347,2023-08-03,27,Keyboard,Accessories,9,470.14,Alice,4231.26
348,2023-12-03,21,Monitor,Electronics,7,13.27,Diana,92.89
349,2023-10-26,30,Charger,Computers,9,388.43,Bob,3495.87
350,2023-10-17,97,Webcam,Accessories,3,316.35,Bob,949.0500000000001
351,2023-09-25,28,Tablet,Computers,4,193.04,Eve,772.16
352,2023-06-11,111,Laptop,Accessories,8,34.74,Diana,277.92
353,2023-05-14,192,Charger,Audio,6,317.47,Charlie,1904.8200000000002
354,2023-04-15,197,Tablet,Audio,5,198.95,Eve,994.75
355,2023-12-09,61,Speaker,Accessories,4,468.77,Bob,1875.08
356,2023-06-10,48,Laptop,Audio,8,275.58,Diana,2204.64
357,2023-05-03,147,Mouse,Accessories,1,470.43,Eve,470.43
358,2023-05-16,4,Keyboard,Audio,9,118.04,Diana,1062.3600000000001
359,2023-07-22,35,Laptop,Electronics,1,365.61,Bob,365.61
360,2023-03-09,192,Phone,Electronics,8,312.45,Eve,2499.6
361,2023-12-10,49,Tablet,Electronics,4,372.31,Bob,1489.24
362,2023-11-27,17,Mouse,Computers,9,115.19,Alice,1036.71
363,2023-06-03,172,Phone,Computers,5,335.85,Bob,1679.25
364,2023-08-23,158,Speaker,Electronics,3,254.04,Diana,762.12
365,2023-06-11,46,Phone,Computers,9,373.98,Charlie,3365.82
366,2023-02-07,117,Webcam,Audio,9,170.25,Bob,1532.25
367,2023-01-05,6,Webcam,Accessories,4,446.13,Charlie,1784.52
368,2023-08-23,99,Monitor,Accessories,4,51.31,Alice,205.24
369,2023-11-15,124,Charger,Accessories,8,405.52,Eve,3244.16
370,2023-10-16,37,Charger,Electronics,2,432.05,Eve,864.1
371,2023-02-21,24,Mouse,Computers,9,410.45,Charlie,3694.0499999999997
372,2023-02-07,93,Speaker,Audio,6,261.24,Eve,1567.44
373,2023-10-03,46,Headphones,Audio,9,224.81,Bob,2023.29
374,2023-04-20,181,Webcam,Electronics,8,498.17,Charlie,3985.36
375,2023-09-17,95,Mouse,Audio,7,122.29,Diana,856.0300000000001
376,2023-05-16,99,Headphones,Audio,1,277.97,Bob,277.97
377,2023-03-09,188,Charger,Audio,3,338.63,Bob,1015.89
378,2023-06-28,116,Monitor,Audio,2,353.43,Bob,706.86
379,2023-02-05,191,Phone,Computers,5,109.97,Diana,549.85
380,2023-05-06,160,Webcam,Audio,5,330.46,Alice,1652.3
381,2023-07-09,161,Mouse,Accessories,5,411.0,Eve,2055.0
382,2023-05-26,67,Laptop,Electronics,4,34.51,Charlie,138.04
383,2023-03-22,128,Headphones,Computers,5,456.65,Alice,2283.25
384,2023-08-13,18,Phone,Audio,3,24.46,Charlie,73.38
385,2023-10-06,25,Webcam,Computers,1,184.43,Eve,184.43
386,2023-12-27,54,Charger,Audio,5,17.75,Diana,88.75
387,2023-06-04,58,Speaker,Accessories,9,47.8,Bob,430.2
388,2023-11-10,67,Headphones,Electronics,9,456.47,Bob,4108.2300000000005
389,2023-12-01,104,Charger,Audio,4,183.88,Diana,735.52
